                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.43744,                0.30559,                0.39201,                0.91392,                0.92401,                0.97856,                0.97437,                0.94474,                0.92401,                0.97856,                0.97437,                 0.9267,                0.26923,                0.21498,                0.37825,                0.65361,              0.0012674,              0.0012674,              0.0012674
                     40,                0.43072,                0.34157,                0.38633,                0.91128,                0.91402,                0.96881,                0.97119,                0.94491,                0.91402,                0.96881,                0.97119,                0.92133,                0.25922,                0.21576,                0.38656,                0.65331,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.4171,                0.33801,                0.39643,                0.90357,                0.94717,                0.97856,                0.98535,                0.95774,                 0.9454,                0.97271,                0.98312,                0.94031,                0.26829,                0.24286,                0.41993,                0.64765,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.4084,                0.31442,                0.37615,                  0.906,                0.94283,                0.97856,                0.97454,                0.94716,                0.94283,                0.97856,                0.97454,                0.93217,                0.25698,                0.25684,                0.36897,                0.65361,               0.001208,               0.001208,               0.001208
                     43,                 0.4041,                0.33031,                0.38102,                0.90346,                0.94671,                0.96686,                0.97433,                0.94246,                0.94671,                0.96686,                0.97433,                0.91044,                 0.2685,                0.31774,                0.41618,                0.66083,              0.0011882,              0.0011882,              0.0011882
                     44,                0.41763,                0.32383,                 0.3947,                0.91156,                0.93566,                0.97466,                 0.9769,                0.95072,                0.93566,                0.97466,                 0.9769,                0.93812,                0.25923,                0.21795,                0.38241,                0.65265,              0.0011684,              0.0011684,              0.0011684
                     45,                0.41242,                0.31829,                0.38072,                0.90274,                0.95289,                0.97076,                0.97514,                0.94729,                0.95289,                0.97076,                0.97514,                0.92718,                0.25931,                 0.2455,                0.37852,                0.65445,              0.0011486,              0.0011486,              0.0011486
                     46,                0.39219,                0.32361,                0.37156,                 0.8945,                0.94991,                0.97271,                0.96862,                0.94331,                0.94991,                0.97271,                0.96862,                0.92319,                0.24944,                0.23276,                0.35659,                0.64725,              0.0011288,              0.0011288,              0.0011288
                     47,                0.39555,                0.31865,                0.36058,                 0.9048,                0.94338,                0.97432,                0.98473,                0.95571,                0.94338,                0.97432,                0.98473,                0.94155,                0.24546,                 0.2601,                0.34078,                0.65026,               0.001109,               0.001109,               0.001109
                     48,                0.40738,                0.32896,                0.38813,                0.90301,                0.93485,                0.98246,                 0.9788,                0.95051,                  0.933,                0.98051,                0.97613,                0.93837,                0.24939,                0.24907,                0.40077,                0.66089,              0.0010892,              0.0010892,              0.0010892
